nomdiag_cod,nomdiag_desc,nomdiag_codigo_cie10,nomdiag_desc_vector,diag_cod_cie10,diag_desc,diag_1,diag_2
300001,Colera clasico,A000,'clasic':2 'coler':1,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",,S
300002,Colera debido cholerae,A000,'cholera':3 'coler':1 'deb':2,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",,S
300004,Colera El Tor,A001,'coler':1 'tor':3,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300005,"Disenteria, colera",A001,'coler':2 'disenteri':1,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300003,Colera debido El Tor,A001,'coler':1 'deb':2 'tor':4,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300006,"El Tor, colera",A001,'coler':3 'tor':2,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300007,Enteritis El Tor,A001,'enteritis':1 'tor':3,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300009,"Diarrea, colerica",A009,'coler':2 'diarre':1,A00.9,"COLERA, NO ESPECIFICADO",,S
300008,Colera (asiatico) (epidemico) (maligno),A009,'asiat':2 'coler':1 'epidem':3 'malign':4,A00.9,"COLERA, NO ESPECIFICADO",,S
300016,fiebre tifoidea,A010,'fiebr':1 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300032,"Ulcera, tifoidea (fiebre) (perforante)",A010,'fiebr':3 'perfor':4 'tifoide':2 'ulcer':1,A01.0,FIEBRE TIFOIDEA,,S
300033,fiebre de la prisión,A010,'fiebr':1 'prision':4,A01.0,FIEBRE TIFOIDEA,,S
300017,Fiebre tifoidea (abortiva) (hemorragica) (intermitente) (maligna),A010,'abort':3 'fiebr':1 'hemorrag':4 'intermitent':5 'malign':6 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300018,fiebres tifoidea y paratifoidea,A010,'fiebr':1 'paratifoide':4 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300019,Ileotifus,A010,'ileotifus':1,A01.0,FIEBRE TIFOIDEA,,S
300010,Absceso postifoidea,A010,'absces':1 'postifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300020,"Infeccion, Bacterium typhosum",A010,'bacterium':2 'infeccion':1 'typhosum':3,A01.0,FIEBRE TIFOIDEA,,S
300021,"Infeccion, Salmonella tifica, tifosa, typhi",A010,'infeccion':1 'salmonell':2 'tific':3 'tifos':4 'typhi':5,A01.0,FIEBRE TIFOIDEA,,S
300011,"Eberth, enfermedad o sindrome de (fiebre tifoidea)",A010,'eberth':1 'enfermed':2 'fiebr':6 'sindrom':4 'tifoide':7,A01.0,FIEBRE TIFOIDEA,,S
300022,"Infeccion, tifoidea (abortiva) (ambulatoria) (bacilo)",A010,'abort':3 'ambulatori':4 'bacil':5 'infeccion':1 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300023,Linfadenitis mesenterica debida a Salmonella typhi,A010,'deb':3 'linfadenitis':1 'mesenter':2 'salmonell':5 'typhi':6,A01.0,FIEBRE TIFOIDEA,,S
300012,Enfermedad Eberth (fiebre tifoidea),A010,'eberth':2 'enfermed':1 'fiebr':3 'tifoide':4,A01.0,FIEBRE TIFOIDEA,,S
300024,Perforacion gastrointestinal tifica,A010,'gastrointestinal':2 'perforacion':1 'tific':3,A01.0,FIEBRE TIFOIDEA,,S
300025,Perforacion intestino tifoidea,A010,'intestin':2 'perforacion':1 'tifoide':3,A01.0,FIEBRE TIFOIDEA,,S
300013,Enteritis tifica,A010,'enteritis':1 'tific':2,A01.0,FIEBRE TIFOIDEA,,S
300026,"Perforacion tifica, gastrointestinal",A010,'gastrointestinal':3 'perforacion':1 'tific':2,A01.0,FIEBRE TIFOIDEA,,S
300027,Tifoenteritis,A010,'tifoenteritis':1,A01.0,FIEBRE TIFOIDEA,,S
300014,"Febris, tifosa",A010,'febris':1 'tifos':2,A01.0,FIEBRE TIFOIDEA,,S
300028,"Tifoidea (abortiva, ambulatoria, cualquier sitio, fiebre, hemorragica, infeccion, intermitente, maligna, reumatica)",A010,'abort':2 'ambulatori':3 'cualqui':4 'fiebr':6 'hemorrag':7 'infeccion':8 'intermitent':9 'malign':10 'reumat':11 'siti':5 'tifoide':1,A01.0,FIEBRE TIFOIDEA,,S
300029,Tifoperitonitis,A010,'tifoperitonitis':1,A01.0,FIEBRE TIFOIDEA,,S
300015,Fiebre tifogastrica,A010,'fiebr':1 'tifogastr':2,A01.0,FIEBRE TIFOIDEA,,S
300030,Tifus abdominal,A010,'abdominal':2 'tifus':1,A01.0,FIEBRE TIFOIDEA,,S
300031,"Ulcera, intestino, tifoidea (fiebre)",A010,'fiebr':4 'intestin':2 'tifoide':3 'ulcer':1,A01.0,FIEBRE TIFOIDEA,,S
